candidate_id,cluster,merchant,merchant_product_id,product_title,brand,model,variant,canonical_url,price_observed,currency,availability_observed,spec_source,observed_at,identity_confidence,commercial_score,status,review_notes
CAND_US_001,under-sink-organizer,amazon.in,B0C1KNTF2Y,"wolpin Under Sink Rectangle Organizer Storage Rack, 2-Tier Plastic Holder With Hooks & Cup Holder (40 x 21 x 39 cm)",wolpin,SO471,40 x 21 x 39 cm,https://www.amazon.in/dp/B0C1KNTF2Y,1269,INR,LIVE_VERIFIED_IN_STOCK,https://www.amazon.in/dp/B0C1KNTF2Y,2026-08-16,VERIFIED_LIVE,79,READY,"Live Amazon page opened 2026-08-16: ASIN B0C1KNTF2Y confirmed, brand wolpin confirmed, dimensions 40x21x39cm confirmed, title matches, In stock. Price moved 696->1269 INR (+82%) since last source-listed observation on 2026-07-28 -- creative must use refreshed 1269 price or omit exact price per X-to-X policy item 6. Model code SO471 not independently visible on the live listing itself (was sourced externally); ASIN match is the binding identity per policy item 1. Still BLOCKED pending affiliate/tracking mapping (Amazon Associates not yet active). TRANSITION TO READY (Dr. Victor, 2026-08-16): affiliate blocker cleared -- Vicky confirmed Amazon Associates account live (Store ID rioaffiliate-21, tax status Completed, screenshot reviewed). identity_confidence relabeled LIVE_MATCHED -> VERIFIED_LIVE to align with the vocabulary validate_production_offer_gate.py already expected (same live-check meaning, no information lost -- see also the validate_product_candidates.py / validate_production_offer_gate.py alignment fix in this same commit). Moved SPEC_REVIEW -> SCORED -> OFFER_MAPPING -> READY in one step since score, identity and availability were already established earlier this session and affiliate activation was the only remaining ready_condition. CAVEAT: this is the data/pipeline gate only -- the live article page does not yet have a working tagged buy link (site/articles/*.html has zero amazon.in hrefs today). Building that link into the site template is the next real task before this can earn a rupee."
CAND_US_002,under-sink-organizer,amazon.in,B0DK34MQY7,"HOOBRO Under Sink Organizers, Expandable Cabinet Shelf Organizer 2 Tier, Black",HOOBRO,Under Sink Shelf,Black; 87 x 25 x 49 cm,https://www.amazon.in/dp/B0DK34MQY7,1499,INR,LIVE_VERIFICATION_FAILED_404,https://pricehistory.app/p/hoobro-under-sink-organizers-expandable-cabinet-shelf-kJ8D0Iyp,2026-08-16,LIVE_VERIFICATION_FAILED,68,REJECTED,"Live check 2026-08-16: https://www.amazon.in/dp/B0DK34MQY7 returns Amazon 'Page Not Found' (confirmed on 2 separate loads) -- ASIN B0DK34MQY7 no longer resolves, canonical destination fails X-to-X policy item 4 (destination must be verified). Not quarantined and not force-advanced: per state_machine.json, SCORED's only allowed transitions are OFFER_MAPPING or REJECTED (QUARANTINED is not a legal transition from SCORED in the JSON, though brief Section 6 prose implies quarantine is available 'at any stage' -- flagging this prose/JSON mismatch, not resolving it unilaterally). Rejecting this candidate_id/ASIN. NOTE: Amazon.in search for 'HOOBRO Under Sink Organizer' surfaces two live HOOBRO 2-tier listings at ~INR1,499 (incl. one titled 'HOOBRO Under Sink Shelf Extendable Storage ... Adjustable Kitchen Organizer (Black-2-Tiers)') that resemble the original spec but carry different ASINs -- these are UNVERIFIED as the same product and must not be substituted into this record per X-to-X policy ('never auto-substitute'). If pursued, they require a brand-new candidate_id through DISCOVERY_REQUIRED->...->IDENTITY_REVIEW, not a patch to this row."
CAND_SR_001,spice-rack,amazon.in,B07P5Z9SQN,"Amazon Solimo Plastic Revolving Spice Rack Set of 16 Pieces, Standard Size, Light Brown (SOKT66)",Amazon Solimo,SOKT66,16 pieces; Light Brown,https://www.amazon.in/dp/B07P5Z9SQN,539,INR,LIVE_VERIFIED_IN_STOCK,https://www.amazon.in/dp/B07P5Z9SQN,2026-08-16,VERIFIED_LIVE,86,READY,"Live Amazon page opened 2026-08-16: ASIN B07P5Z9SQN confirmed, title/brand/model SOKT66/16-piece/Light Brown all match exactly, price unchanged at 539 INR, In stock. Strongest candidate in the pipeline (score 86, full live match, price stable). Still BLOCKED pending affiliate/tracking mapping (Amazon Associates not yet active) -- this is the top candidate to activate first once Vicky sets up the Associates account. TRANSITION TO READY (Dr. Victor, 2026-08-16): affiliate blocker cleared -- Vicky confirmed Amazon Associates account live (Store ID rioaffiliate-21, tax status Completed, screenshot reviewed). identity_confidence relabeled LIVE_MATCHED -> VERIFIED_LIVE to align with the vocabulary validate_production_offer_gate.py already expected (same live-check meaning, no information lost -- see also the validate_product_candidates.py / validate_production_offer_gate.py alignment fix in this same commit). Moved SPEC_REVIEW -> SCORED -> OFFER_MAPPING -> READY in one step since score, identity and availability were already established earlier this session and affiliate activation was the only remaining ready_condition. CAVEAT: this is the data/pipeline gate only -- the live article page does not yet have a working tagged buy link (site/articles/*.html has zero amazon.in hrefs today). Building that link into the site template is the next real task before this can earn a rupee."
CAND_SR_002,spice-rack,amazon.in,B085GNVDFG,Amazon Brand - Solimo Revolving Spice Rack Set (16 Pieces) & Pickle Tower / Containers Combo,Amazon Brand - Solimo,,16-piece spice rack + pickle tower combo,https://www.amazon.in/dp/B085GNVDFG,964,INR,LIVE_VERIFIED_IN_STOCK,https://pricehistory.app/p/amazon-brand-solimo-revolving-spice-rack-set-KOqQdbw8,2026-08-16,LIVE_MATCHED,54,REJECTED,"Live Amazon page opened 2026-08-16: ASIN B085GNVDFG confirmed, title matches exactly ('Amazon Brand - Solimo Revolving Spice Rack Set (16 Pieces) & Pickle Tower/Containers Combo | Plastic'), brand 'Amazon Brand - Solimo' confirmed, combo contents (16-pc spice rack + pickle tower) confirmed, In stock. Price INR964 vs previously recorded INR980 (-1.6%, stable, not a red flag). Status held at SCORED -- not advanced to OFFER_MAPPING because Amazon Associates affiliate account is not yet active (VICKY ACTION REQUIRED); advancing would violate the READY/OFFER_MAPPING gate on partial evidence. Still weaker commercial fit than CAND_SR_001 (score 54 vs 86) for standalone spice-rack search intent; must not substitute for SOKT66 (CAND_SR_001). || DECISION (Dr. Victor, 2026-08-16): REJECTED, not advanced, even though the Amazon Associates blocker that originally held this at SCORED is now resolved (account confirmed live). Reason: score 54/100 does not clear the >=70 promotion threshold, and the existing review_notes already flag this as a weaker commercial fit than CAND_SR_001 (54 vs 86) for the same spice-rack cluster, which is already served live by CAND_SR_001 (READY/ACTIVE). Promoting a second, weaker offer into an already-covered cluster adds no incremental value and risks diluting the page's single clear recommendation. Not reconsidering unless a future re-scoring materially changes the picture."
CAND_TR_001,slim-kitchen-trolley,amazon.in,B08BVJYLZ3,"Amazon Basics Slim Rolling Storage Rack – 3-Tiered Shelf Plastic Slide-Out Organizer | Space-Saving, Multipurpose | for Kitchen, Bathroom, Laundry, Pantry & Utility Storage | Floor Standing | White",amazon basics,,"White; 3-Tier; 12.4D x 54.2W x 71.8H cm; wheeled, foldable",https://www.amazon.in/dp/B08BVJYLZ3,829,INR,LIVE_VERIFIED_IN_STOCK,https://www.amazon.in/dp/B08BVJYLZ3,2026-08-16,VERIFIED_LIVE,84,READY,"Live Amazon.in page opened by Dr. Victor (browser check) 2026-08-16: ASIN B08BVJYLZ3 confirmed, title/dimensions match slim-kitchen-trolley cluster intent exactly (3-tier, wheeled, foldable, White, Plastic, 12.4Dx54.2Wx71.8H cm), price 829 INR (MRP 1500), In stock, 4.4 star / 2,587 ratings. Listed under brand 'amazon basics' but product info attributes it to Amazon Brand - Solimo -- note this brand/title discrepancy for creative copy; use the exact listing title, do not resolve the ambiguity by guessing. Identity-review only: commercial_score not yet computed against product_scoring_model.md's 7-factor rubric -- pending a separate scoring pass before SPEC_REVIEW/SCORED transition, per state machine sequence. || SCORING PASS (Dr. Victor, 2026-08-16) against product_scoring_model.md 7-factor rubric, using evidence already captured in the identity-review note above (no new facts invented): Fit to search intent 22/25 (title/dimensions match slim-kitchen-trolley cluster exactly; minor deduction for the amazon-basics/Solimo brand-attribution ambiguity noted below). Spec completeness/verifiability 17/20 (dimensions, material, colour all given). Availability confidence 15/15 (LIVE_VERIFIED_IN_STOCK). Price/value 13/15 (INR829 vs MRP1500, ~45% off). Review evidence quality 10/10 (4.4 stars / 2,587 ratings). Merchant/listing stability 7/10 (deducted for the unresolved brand label discrepancy -- listing title says 'amazon basics', product info attributes it to 'Amazon Brand - Solimo'; carry forward: creative copy must use the exact listing title as already directed, not the ambiguous brand field). Creative suitability 5/5. Total 84/100 -- clears the >=70 candidate threshold. Moved IDENTITY_REVIEW -> SCORED. Still requires a fresh live re-check immediately before OFFER_MAPPING/READY per RIO's price-sensitive-creative-refreshed-at-publish-time rule. || LIVE RE-CHECK (Dr. Victor, 2026-08-16): re-confirmed in stock immediately before promotion, per RIO's price-sensitive-creative-refreshed-at-publish-time rule. Live-rechecked 2026-08-16 via Amazon.in: In stock, price₹829 (M.R.P. ₹1,500), 4.4 stars/2,587 ratings -- unchanged from prior evidence. Moved SCORED -> OFFER_MAPPING -> READY. || LIVE RE-CHECK (Dr. Victor, 2026-08-16): re-confirmed in stock immediately before promotion, per RIO's price-sensitive-creative-refreshed-at-publish-time rule. Live-rechecked 2026-08-16 via Amazon.in: In stock, price₹829 (M.R.P. ₹1,500), 4.4 stars/2,587 ratings -- unchanged from prior evidence. Moved SCORED -> OFFER_MAPPING -> READY."
CAND_CO_001,airtight-containers,amazon.in,B0753ZQDR7,Signoraware Family Fresh Tab BPA Free Plastic Containers Set | Microwave & Freezer safe | Airtight & Leakproof | Best for Kitchen & Outdoor Use (MultiColour | Setof4 | 2.5Ltr +1.2Ltr +500ml +160ml),SIGNORA WARE,,MultiColour; Set of 4 (2.5L+1.2L+500ml+160ml),https://www.amazon.in/dp/B0753ZQDR7,449,INR,LIVE_VERIFIED_IN_STOCK,https://www.amazon.in/dp/B0753ZQDR7,2026-08-16,VERIFIED_LIVE,95,READY,"Live Amazon.in page opened by Dr. Victor (browser check) 2026-08-16: ASIN B0753ZQDR7 confirmed, title/brand SIGNORA WARE, Set of 4 (2.5L+1.2L+500ml+160ml), Polypropylene, MultiColour, 20.5x20.5x10cm all match airtight-containers cluster intent, price 449 INR (MRP 599), In stock, 4.4 star / 3,203 ratings. Clean, unambiguous match. Identity-review only: commercial_score not yet computed against product_scoring_model.md's 7-factor rubric -- pending a separate scoring pass before SPEC_REVIEW/SCORED transition, per state machine sequence. || SCORING PASS (Dr. Victor, 2026-08-16) against product_scoring_model.md 7-factor rubric: Fit to search intent 25/25 (identity-review note called this a 'clean, unambiguous match'). Spec completeness/verifiability 19/20 (material, full capacity breakdown, dimensions all given). Availability confidence 15/15 (LIVE_VERIFIED_IN_STOCK). Price/value 12/15 (INR449 vs MRP599, ~25% off). Review evidence quality 10/10 (4.4 stars / 3,203 ratings). Merchant/listing stability 9/10 (established SIGNORAWARE listing, no ambiguity found). Creative suitability 5/5. Total 95/100 -- clears the >=70 candidate threshold. Moved IDENTITY_REVIEW -> SCORED. Still requires a fresh live re-check immediately before OFFER_MAPPING/READY per RIO's price-sensitive-creative-refreshed-at-publish-time rule. || LIVE RE-CHECK (Dr. Victor, 2026-08-16): re-confirmed in stock immediately before promotion, per RIO's price-sensitive-creative-refreshed-at-publish-time rule. Live-rechecked 2026-08-16 via Amazon.in: In stock, price ₹449 (M.R.P. ₹599), 4.4 stars/3,203 ratings -- unchanged from prior evidence. Moved SCORED -> OFFER_MAPPING -> READY. || LIVE RE-CHECK (Dr. Victor, 2026-08-16): re-confirmed in stock immediately before promotion, per RIO's price-sensitive-creative-refreshed-at-publish-time rule. Live-rechecked 2026-08-16 via Amazon.in: In stock, price ₹449 (M.R.P. ₹599), 4.4 stars/3,203 ratings -- unchanged from prior evidence. Moved SCORED -> OFFER_MAPPING -> READY."
CAND_DR_001,drawer-organizer,amazon.in,B0H9MM6BPD,"Purawood Expandable Cutlery Drawer Organizer for Kitchen, Large Adjustable Flatware & Utensil Tray with 2 Removable Slots, Spoon Fork Knife Storage Divider, BPA-Free Kitchen Drawer Organiser, Black",Purawood,,"Black; Large, Adjustable; 2 Removable Slots",https://www.amazon.in/dp/B0H9MM6BPD,598,INR,LIVE_VERIFIED_IN_STOCK,https://www.amazon.in/dp/B0H9MM6BPD,2026-08-16,VERIFIED_LIVE,79,READY,"Live Amazon.in page opened by Dr. Victor (browser check) 2026-08-16: ASIN B0H9MM6BPD confirmed, Purawood Expandable Cutlery Drawer Organizer, Black, BPA-Free, 2 removable slots, matches drawer-organizer cluster intent (expandable dividers, spoon/fork/knife storage, per article's 'expandable dividers offer flexibility' guidance), price 598 INR, In stock. GAP: Dr. Victor did not capture a star-rating figure for this listing during the live check -- review-evidence-quality (a scoring-rubric factor, 10 pts) can't be fully assessed until that's confirmed on a follow-up look; not fabricating a number here. Identity-review only: commercial_score not yet computed against product_scoring_model.md's 7-factor rubric -- pending a separate scoring pass before SPEC_REVIEW/SCORED transition, per state machine sequence. || SCORING PASS (Dr. Victor, 2026-08-16) against product_scoring_model.md 7-factor rubric: Fit to search intent 23/25 (expandable dividers, 2 removable slots match drawer-organizer cluster guidance). Spec completeness/verifiability 14/20 (material/adjustability given, but no explicit cm dimensions captured, unlike the other candidates). Availability confidence 15/15 (LIVE_VERIFIED_IN_STOCK). Price/value 11/15 (INR598, no MRP comparison captured to confirm a discount). Review evidence quality 3/10 -- deliberately scored low, not fabricated: the identity-review note flagged a real gap, no star-rating figure was captured for this listing. Merchant/listing stability 8/10. Creative suitability 5/5. Total 79/100 -- clears the >=70 candidate threshold, but only barely, and specifically because of the review-evidence gap. Moved IDENTITY_REVIEW -> SCORED. CARRY FORWARD: capture the actual star rating during the live re-verification pass before OFFER_MAPPING/READY -- if that check reveals a materially different picture (e.g. very low rating or few reviews) this must be re-scored before promotion, not pushed through on the strength of this provisional score. || LIVE RE-CHECK (Dr. Victor, 2026-08-16): re-confirmed in stock immediately before promotion, per RIO's price-sensitive-creative-refreshed-at-publish-time rule. Live-rechecked 2026-08-16 via Amazon.in: In stock, price ₹598 (M.R.P. ₹1,999), 4.7 stars/4,116 ratings -- closes the previously-flagged review-evidence gap with a strong real rating. Moved SCORED -> OFFER_MAPPING -> READY. || LIVE RE-CHECK (Dr. Victor, 2026-08-16): re-confirmed in stock immediately before promotion, per RIO's price-sensitive-creative-refreshed-at-publish-time rule. Live-rechecked 2026-08-16 via Amazon.in: In stock, price ₹598 (M.R.P. ₹1,999), 4.7 stars/4,116 ratings -- closes the previously-flagged review-evidence gap with a strong real rating. Moved SCORED -> OFFER_MAPPING -> READY."
CAND_ND_001,no-drill-organizer,amazon.in,B0H2Q3875J,"Nieifi KIMEE Set of 2 Metal Bathroom Corner Shelf | Rustproof No-Drill Self Adhesive Wall Mounted Storage Rack for Bathroom and Kitchen | Heavy Duty Shower Caddy Organizer, 8 and 9 Inch, Black",Nieifi,,Black; Set of 2; 8 and 9 Inch,https://www.amazon.in/dp/B0H2Q3875J,289,INR,LIVE_VERIFIED_IN_STOCK,https://www.amazon.in/dp/B0H2Q3875J,2026-08-16,VERIFIED_LIVE,73,READY,"Live Amazon.in page opened by Dr. Victor (browser check) 2026-08-16: ASIN B0H2Q3875J confirmed, Nieifi KIMEE Set of 2 Metal Corner Shelf, Rustproof, No-Drill Self-Adhesive Wall Mounted, Black, 8/9 inch, price 289 INR, In stock. FIT JUDGMENT (RIO call, checked against site/articles/no-drill-kitchen-organizers-renters-india.html): the article frames the cluster around renter-friendly, adhesive, load-caution, kitchen-focused storage generally -- it does not require a 'corner shelf' form factor specifically, and its guidance (surface-dependent adhesive, test removability, do not overload with fragile/heavy items) matches this product's actual attributes closely and correctly. However the listing is titled/marketed primarily as a 'Bathroom Corner Shelf' with kitchen use listed second ('for Bathroom and Kitchen'). Treating this as a BORDERLINE match, not a clean one -- acceptable to carry through IDENTITY_REVIEW, but flagging for SPEC_REVIEW that creative copy must stay honest about it being a dual-use bathroom/kitchen corner shelf, not implying a dedicated kitchen-only product, to avoid an X-to-X 'creative implies different intended product' failure at OFFER_MAPPING. Identity-review only: commercial_score not yet computed against product_scoring_model.md's 7-factor rubric -- pending a separate scoring pass before SPEC_REVIEW/SCORED transition, per state machine sequence. DECISION (Dr. Victor, 2026-08-16): proceed with this candidate -- borderline fit is acceptable, not disqualifying, since the article's actual guidance (adhesive suitability, load caution) applies regardless of corner-shelf form factor. Binding condition carried forward to SPEC_REVIEW/OFFER_MAPPING: creative copy must disclose it as a bathroom-and-kitchen corner shelf, never imply a dedicated kitchen-only product, or this fails the X-to-X creative-match gate at that stage. || SCORING PASS (Dr. Victor, 2026-08-16) against product_scoring_model.md 7-factor rubric: Fit to search intent 16/25 -- deliberately reduced, not full marks, because the prior identity-review note already flagged this as a BORDERLINE fit (listing markets itself primarily as a 'Bathroom Corner Shelf', kitchen use is secondary). Spec completeness/verifiability 15/20 (material, size, set count given). Availability confidence 15/15 (LIVE_VERIFIED_IN_STOCK). Price/value 12/15 (INR289, no MRP captured but low absolute price for the category). Review evidence quality 3/10 -- deliberately scored low, not fabricated: no star-rating figure was captured for this listing either. Merchant/listing stability 7/10. Creative suitability 5/5, conditional on the binding disclosure requirement already on file. Total 73/100 -- clears the >=70 candidate threshold, but only barely. Moved IDENTITY_REVIEW -> SCORED. BINDING CONDITION CARRIED FORWARD UNCHANGED from the prior DECISION note: creative copy must disclose this as a bathroom-and-kitchen corner shelf, never imply a dedicated kitchen-only product, or this fails the X-to-X creative-match gate at OFFER_MAPPING. Also carry forward: capture an actual star rating during the live re-verification pass before promotion. || LIVE RE-CHECK (Dr. Victor, 2026-08-16): re-confirmed in stock immediately before promotion, per RIO's price-sensitive-creative-refreshed-at-publish-time rule. Live-rechecked 2026-08-16 via Amazon.in: In stock, price ₹289 (M.R.P. ₹4,999), 4.6 stars/10,516 ratings -- closes the previously-flagged review-evidence gap; also re-confirms dual bathroom/kitchen framing, binding creative disclosure condition still applies. Moved SCORED -> OFFER_MAPPING -> READY. || LIVE RE-CHECK (Dr. Victor, 2026-08-16): re-confirmed in stock immediately before promotion, per RIO's price-sensitive-creative-refreshed-at-publish-time rule. Live-rechecked 2026-08-16 via Amazon.in: In stock, price ₹289 (M.R.P. ₹4,999), 4.6 stars/10,516 ratings -- closes the previously-flagged review-evidence gap; also re-confirms dual bathroom/kitchen framing, binding creative disclosure condition still applies. Moved SCORED -> OFFER_MAPPING -> READY."
CAND_BA_001,bathroom-storage,amazon.in,B0GYYRR5JB,"EUDELE Aluminium Pack of 2, Self Adhesive Bathroom Shelf for Wall Shelf Organizer Wall Mounted Bathroom Shelves Rack Holder Stand for Bathroom Accessories Organiser Without Drill Black",EUDELE,,Black; Aluminium; Pack of 2; No-Drill Self-Adhesive,https://www.amazon.in/dp/B0GYYRR5JB,643,INR,LIVE_VERIFIED_IN_STOCK,https://www.amazon.in/dp/B0GYYRR5JB,2026-08-16,VERIFIED_LIVE,90,READY,"DISCOVERY + LIVE IDENTITY CHECK (Dr. Victor, 2026-08-16): found via Amazon.in search 'bathroom storage organizer' for the newly-queued bathroom-storage cluster. Live product page opened directly: ASIN B0GYYRR5JB confirmed, title/brand EUDELE, Aluminium, Pack of 2, Black, No-Drill Self-Adhesive all match, price INR643 (MRP INR1,499, ~57% off), In stock, 4.4 stars / 42,330 ratings -- the strongest review-evidence count in the entire candidate pipeline. || SCORING PASS against product_scoring_model.md 7-factor rubric: Fit to search intent 24/25 (direct wall-mounted bathroom-shelf-organizer match for the cluster's lead 'Best Bathroom Storage Organizers' title). Spec completeness/verifiability 15/20 (material, pack count, colour, mounting type given; no exact cm dimensions captured). Availability confidence 15/15 (LIVE_VERIFIED_IN_STOCK). Price/value 13/15 (~57% off MRP). Review evidence quality 10/10 (4.4 stars/42,330 ratings). Merchant/listing stability 8/10 (independent brand, not an Amazon house brand, but no ambiguity found in the listing itself). Creative suitability 5/5. Total 90/100 -- clears the >=70 threshold comfortably, best score of any bathroom candidate found. Moved DISCOVERY_REQUIRED -> DISCOVERED -> IDENTITY_REVIEW -> SPEC_REVIEW -> SCORED in one documented pass since all evidence was captured live. || LIVE RE-CHECK / PROMOTION (Dr. Victor, 2026-08-16): the identity check above IS the live re-check (same browser session, same visit) -- price-sensitive-creative-refreshed-at-publish-time rule satisfied. Amazon Associates affiliate account already confirmed live (Store ID rioaffiliate-21) from earlier this session. Moved SCORED -> OFFER_MAPPING -> READY."
CAND_BA_002,bathroom-storage-no-drill,amazon.in,B0C85CTXTC,"House of VIPA Wall Mounted Bathroom Shelf Organizer | 2 Tier Plastic Bathroom Rack with 4 Hooks | No Drill Adhesive Bathroom Accessories for Shampoo, Soap & Toiletries",House of VIPA,,2-Tier; Plastic; 4 Hooks; No-Drill Adhesive,https://www.amazon.in/dp/B0C85CTXTC,449,INR,LIVE_VERIFIED_IN_STOCK,https://www.amazon.in/dp/B0C85CTXTC,2026-08-16,VERIFIED_LIVE,88,READY,"DISCOVERY + LIVE IDENTITY CHECK (Dr. Victor, 2026-08-16): found via Amazon.in search 'bathroom storage organizer', selected specifically for the 'No-Drill Bathroom Storage Ideas for Rented Homes in India' working title (renter-friendly angle matches RIO's existing no-drill-kitchen-organizer content pattern). Live product page opened directly: ASIN B0C85CTXTC confirmed, 2-Tier Plastic rack with 4 hooks, No-Drill Adhesive mounting, price INR449 (MRP INR1,539, ~71% off), In stock, 4.1 stars / 973 ratings. || SCORING PASS against product_scoring_model.md 7-factor rubric: Fit to search intent 24/25 (direct match to the no-drill/renter-friendly bathroom cluster, hooks + shelf combo is exactly the practical storage the working title promises). Spec completeness/verifiability 14/20 (tier count, hook count, material, mounting type given; no exact cm dimensions). Availability confidence 15/15 (LIVE_VERIFIED_IN_STOCK). Price/value 14/15 (~71% off MRP, strong discount). Review evidence quality 8/10 (4.1 stars/973 ratings -- solid, well short of CAND_BA_001's count but still a meaningful sample). Merchant/listing stability 8/10 (no ambiguity found). Creative suitability 5/5. Total 88/100 -- clears the >=70 threshold. Moved DISCOVERY_REQUIRED -> DISCOVERED -> IDENTITY_REVIEW -> SPEC_REVIEW -> SCORED in one documented pass. || LIVE RE-CHECK / PROMOTION (Dr. Victor, 2026-08-16): the identity check above IS the live re-check (same browser session). Amazon Associates affiliate account already confirmed live (Store ID rioaffiliate-21). Moved SCORED -> OFFER_MAPPING -> READY."
